English,Deutsch,Arabic
doesn,tut nicht,لا
name,Name,اسم
place,Ort,مكان
ever,immer,أبدًا
feel,fühlen,يشعر
guys,Leute,شباب
father,Vater,أب
guy,Kerl,رجل
made,gemacht,صنع
old,alt,قديم
isn,isn,isn
which,welche,أيّ
big,groß,كبير
lot,viel,كثير
done,Erledigt,منتهي
hello,Hallo,مرحبًا
nice,Hübsch,لطيف - جيد
believe,glauben,يعتقد
girl,Mädchen,بنت
someone,jemand,شخص ما
fine,Bußgeld,بخير
thanks,Danke,شكرًا
wanted,gesucht,مطلوب
kind,Art,عطوف
coming,Kommen,آت
house,Haus,منزل
every,jeden,كل
ok,OK,نعم
through,durch,خلال
being,Sein,كون
course,Kurs,دورة
stay,bleiben,يقضي
left,links,غادر
dad,Papa,أب
enough,genug,كافٍ
happened,passiert,حدث
came,kam,أتى
may,dürfen,يمكن
mother,Mutter,الأم
wrong,falsch,خطأ
world,Welt,عالم
bad,schlecht,سيء
might,könnte,قد
three,drei,ثلاثة
today,Heute,اليوم
listen,Hören,يستمع
another,andere,آخر
understand,verstehen,يفهم
hear,hören,يسمع
remember,erinnern,يتذكر
ask,fragen,بسأل
own,eigen,ملك
same,Dasselbe,نفس
show,zeigen,يعرض
else,anders,آخر
kill,töten,قتل
talking,sprechen,تتحدث
found,gefunden,وجد
next,nächste,التالي
getting,bekommen,الحصول
care,Pflege,رعاية
car,Auto,سيارة
looking,aussehen,يبحث
son,Sohn,ابن
try,versuchen,يحاول
woman,Frau,امرأة
went,ging,ذهب
hi,Hi,أهلاً
dead,tot,ميت
many,viele,كثير
mind,Geist,عقل
wasn,war nicht,لم يكن
friend,Freund,صديق
best,am besten,أفضل
mom,Mutter,أم
hell,Hölle,جحيم
morning,Morgen,صباح
trying,versuchen,محاولة
boy,Junge,ولد
together,zusammen,معاً
yourself,du selbst,نفسك
job,Arbeit,وظيفة
saw,gesehen,رأى
family,Familie,عائلة
real,real,حقيقي
without,ohne,بدون
baby,Baby,طفل
room,Zimmer,غرفة
wouldn,würde,لن
already,bereits,بالفعل
move,Umzug,يتحرك
most,am meisten,معظم
seen,gesehen,مرئي
live,live,يعيش
miss,vermissen,يفتقد
actually,Genau genommen,في الحقيقة
huh,Huh,هاه
shit,Scheisse,القرف
both,beide,كلاهما
heard,gehört,سمع
once,einmal,مرة واحدة
ready,bereit,مستعد
head,Kopf,رأس
called,genannt,مُسَمًّى
used,gebraucht,مستخدم
idea,Idee,فكرة
knew,wusste,عرف
hold,halten,يمسك
happy,Glücklich,سعيد
door,Tür,باب
such,solch,هذه
fuck,Scheiße,اللعنة
brother,Bruder,أخ
also,Auch,أيضًا
pretty,hübsch,جميل
bit,Bit,قليل
took,nahm,أخذ
haven,Oase,ملاذ
yet,noch,حتى الآن
men,Männer,رجال
whole,ganz,جميع
start,Start,يبدأ
use,verwenden,يستخدم
while,während,بينما
since,seit,منذ
wife,Gattin,زوجة
days,Tage,أيام
guess,erraten,يخمن
tomorrow,morgen,غداً
matter,Gegenstand,موضوع
meet,treffen,يقابل
bring,bringen,يحضر
tonight,heute Abend,الليلة
everyone,alle,الجميع
run,laufen,يجري
wanna,will,تريد
hard,hart,صعب
ah,Ah,آه
alone,allein,وحيد
myself,ich selbst,نفسي
school,Schule,مدرسة
gone,gegangen,ذهب
um,Äh,أم
end,Ende,نهاية
saying,Sprichwort,القول
phone,Telefon,هاتف
play,spielen,يلعب
looks,sieht aus,تبدو
couldn,konnte nicht,لا يمكن
fucking,Ficken,سخيف
problem,Problem,مشكلة
few,wenig,عدد قليل
friends,Freunde,أصدقاء
gotta,muss,يجب
ago,vor,منذ
open,offen,يفتح
anyone,jeder,أي واحد
killed,getötet,قتل
hope,Hoffnung,يأمل
face,Gesicht,وجه
until,bis,حتى
lost,verloren,ضائع
police,Polizei,شرطة
excuse,Ausrede,عذر
turn,drehen,دور
business,Geschäft,عمل
case,Fall,قضية
wants,will,يريد
says,sagt,يقول
TRUE,WAHR,حقيقي
die,sterben,موت
heart,Herz,قلب
soon,bald,قريباً
each,jede,كل
worry,Sorge,يقلق
later,später,لاحقاً
year,Jahr,سنة
watch,betrachten,يشاهد
music,Musik,موسيقى
hand,Hand,يُسلِّم
having,haben,نأخذ
probably,wahrscheinlich,من المحتمل
beautiful,Schön,جميل
doctor,Arzt,طبيب
sit,sitzen,يجلس
eat,essen,يأكل
thinking,Denken,التفكير
young,jung,شاب
second,zweite,ثانية
working,Arbeiten,عمل
water,Wasser,ماء
person,Person,شخص
part,Teil,جزء
kids,Kinder,أطفال
late,spät,متأخر
stuff,Sachen,أشياء
exactly,Exakt,بالضبط
under,unter,تحت
death,Tod,موت
minute,Minute,دقيقة
pay,zahlen,يدفع
crazy,verrückt,مجنون
forget,vergessen,ينسى
everybody,alle,الجميع
kid,Kind,طفل
change,ändern,يتغير
gave,gab,أعطى
happen,passieren,يحدث
damn,Verdammt,اللعنة
five,fünf,خمسة
drink,trinken,يشرب
far,weit,بعيد
knows,weiß,يعرف
its,es ist,إنه
whatever,was auch immer,أيا كان
eyes,Augen,عيون
shut,schließen,اغلق
aren,Aren,aren
hit,Schlag,يضرب
taking,Einnahme,مع الأخذ
easy,einfach,سهل
times,mal,مرات
check,überprüfen,يفحص
hands,Hände,اليدين
minutes,Protokoll,دقائق
deal,handeln,اتفاق
different,anders,مختلف
means,bedeutet,وسائل
point,Punkt,نقطة
inside,innen,داخل
makes,macht,يصنع
asked,fragte,طلبت
somebody,jemand,شخص ما
mine,Mine,مِلكِي
making,Herstellung,تحضير
body,Körper,جسم
afraid,besorgt,خائف
sleep,schlafen,ينام
chance,Chance,فرصة
dear,Liebling,عزيزي
quite,ganz,تمامًا
four,vier,أربعة
anyway,Trotzdem,على أي حال
close,schließen,يغلق
ain,Ain,عين
party,Party,حزب
fun,Spaß,هزار
against,gegen,ضد
word,Wort,كلمة
comes,kommt,يأتي
important,wichtig,مهم
set,Satz,تعيين
shall,soll,سوف
story,Geschichte,قصة
number,Nummer,رقم
daughter,Tochter,بنت
least,am wenigsten,الأقل
waiting,warten,منتظر
hurt,schmerzen,يؤذي
wish,Wunsch,يتمنى
moment,Moment,لحظة
fight,Streit,يعارك
week,Woche,أسبوع
husband,Ehemann,زوج
girls,Mädchen,فتيات
rest,ausruhen,استراحة
married,verheiratet,متزوج
fire,Feuer,نار
game,Spiel,لعبة
nobody,niemand,لا أحد
mr,Herr,السيد
children,Kinder,أطفال
side,Seite,جانب
stand,Stand,يقف
read,lesen,يقرأ
though,obwohl,رغم ذلك
cut,schneiden,يقطع
started,gestartet,بدأت
sister,Schwester,أخت
supposed,angeblich,مفترض
between,zwischen,بين
child,Kind,طفل
goes,geht,يذهب
hours,Std.,ساعات
speak,sprechen,يتكلم
women,Frauen,نحيف
behind,hinter,خلف
almost,fast,بالكاد
truth,Wahrheit,حقيقة
blood,Blut,دم
able,fähig,قادر
lady,Dame,سيدة
anymore,mehr,أي أكثر من ذلك
playing,Spielen,تلعب
gets,bekommt,يحصل على
shot,Schuss,طلقة
reason,Grund,سبب
trouble,Problem,مشكلة
break,brechen,استراحة
war,Krieg,حرب
city,Stadt,مدينة
walk,gehen,يمشي
town,Stadt,بلدة
trust,Vertrauen,يثق
dr.,DR.,دكتور.
met,getroffen,التقى
office,Büro,مكتب
question,Frage,سؤال
brought,gebracht,أحضر
yours,dein,خاصة بك
welcome,Willkommen,مرحباً
high,hoch,عالي
wow,Wow,رائع
couple,Paar,زوج
half,Hälfte,نصف
died,gestorben,مات
cool,Cool,رائع
free,frei,حر
either,entweder,أيضاً
seems,scheint,يبدو
power,Leistung,قوة
whoa,whoa,قف
bye,Tschüss,الوداع
buy,besorgen,يشتري
telling,erzählen,تقول
honey,Honig,عسل
tried,versucht,حاول
front,Vorderseite,أمام
team,Team,فريق
answer,antworten,إجابة
gun,Pistole,بندقية
boys,Jungen,أولاد
line,Linie,خط
send,schicken,يرسل
news,Nachricht,أخبار
stupid,dumm,غبي
bed,Bett,سرير
hurry,sich beeilen,عجل
full,voll,ممتلىء
months,Monate,شهور
save,speichern,يحفظ
sometimes,Manchmal,أحيانا
become,werden,يصبح
along,entlang,على امتداد
hate,hassen,يكره
food,Essen,طعام
outside,außen,الخارج
light,Licht,ضوء
l,l,ل
needs,Bedürfnisse,الاحتياجات
dog,Hund,كلب
country,Land,دولة
clear,klar,واضح
order,Befehl,طلب
em,em,م
fact,Tatsache,حقيقة
lord,Herr,رب
captain,Kapitän,قائد المنتخب
six,sechs,ستة
hot,heiß,حار
funny,lustig,مضحك
black,Schwarz,أسود
mrs.,Frau.,السّيدة.
alive,lebendig,على قيد الحياة
pick,wählen,يختار
feeling,Gefühl,إحساس
living,Leben,معيشة
cause,Ursache,سبب
ahead,voraus,امام
lose,verlieren,يخسر
king,König,ملِك
plan,planen,يخطط
dinner,Abendessen,عشاء
sighs,seufzt,تنهدات
sort,Sortieren,نوع
leaving,Verlassen,مغادرة
shouldn,Sollte nicht,لا ينبغي
running,Betrieb,جري
boss,Chef,رئيس
alright,In Ordnung,على ما يرام
promise,versprechen,يعد
taken,vergriffen,مأخوذ
safe,sicher,آمن
ma,ma,م
book,Buch,كتاب
sent,gesendet,مرسل
white,Weiss,أبيض
hour,Stunde,ساعة
anybody,irgendjemand,اي شخص
small,klein,صغير
perfect,perfekt,ممتاز
cause,Ursache,سبب
lives,Leben,الأرواح
special,speziell,خاص
parents,Eltern,آباء
s,S,س
john,John,جون
himself,sich selbst,نفسه
perhaps,womöglich,ربما
sounds,Geräusche,اصوات
serious,ernst,جاد
sick,krank,مريض
company,Unternehmen,شركة
ha,Ha,ها
scared,verängstigt,مقدس
uncle,Onkel,عم
poor,arm,فقير
red,Rot,أحمر
past,Vergangenheit,ماضي
earth,Erde,أرض
possible,möglich,ممكن
shoot,schießen,أطلق النار
touch,berühren,يلمس
sound,Klang,صوت
top,Spitze,قمة
ass,Arsch,مؤخرة
laughs,lacht,يضحك
cannot,kann nicht,لا تستطيع
asking,fragen,يسأل
win,gewinnen,يفوز
glad,froh,مسرور
control,Kontrolle,يتحكم
hmm,Hmm,همم
human,menschlich,بشر
drive,Antrieb,يقود
hair,Haar,شعر
jack,Jack,جاك
bitch,Hündin,عاهرة
luck,Glück,حظ
murder,Mord,قتل
happens,das passiert,يحدث
air,Luft,هواء
ten,zehn,عشرة
daddy,Vati,بابي
finally,Endlich,أخيراً
chuckles,kichert,ضحكة مكتومة
fast,schnell,سريع
cold,kalt,بارد
seem,erscheinen,يبدو
laughing,Lachen,يضحك
words,Wörter,كلمات
hospital,Krankenhaus,مستشفى
street,Straße,شارع
hang,aufhängen,يشنق
dance,tanzen,الرقص
meeting,treffen,مقابلة
till,bis,حتى
others,Andere,آحرون
catch,fangen,يمسك
follow,folgen,يتبع
sense,Sinn,حاسة
sex,Sex,الجنس
lie,Lüge,كذب
evening,Abend,مساء
master,Meister,يتقن
known,bekannt,معروف
dream,Traum,حلم
write,schreiben,يكتب
million,Million,مليون
voice,Stimme,صوت
sweet,süss,حلو
rather,eher,بدلاً
felt,gefühlt,شعر
sign,Zeichen,لافتة
lucky,glücklich,محظوظ
somewhere,irgendwo,مكان ما
bet,Wette,رهان
o,Ö,س
jesus,Jesus,عيسى
longer,länger,طويل
calling,Berufung,الدعوة
worked,hat funktioniert,عمل
quiet,ruhig,هادئ
looked,sah,نظرت
less,weniger,أقل
pull,ziehen,يحذب
beat,schlagen,يهزم
careful,vorsichtig,حذر
coffee,Kaffee,قهوة
return,zurückkehren,يعود
secret,Geheimnis,سر
weeks,Wochen,أسابيع
weren,waren,فين
date,Datum,تاريخ
seeing,Sehen,رؤية
fall,fallen,يسقط
given,gegeben,منح
ooh,Oh,أوه
fault,Fehler,عيب
straight,gerade,مستقيم
takes,nimmt,يأخذ
song,Lied,أغنية
future,Zukunft,مستقبل
gentlemen,Herren,السادة المحترمون
loved,geliebt,محبوب
changed,geändert,تغير
road,Straße,طريق
calm,ruhig,هادئ
wonderful,wunderbar,رائع
mad,verrückt,مجنون
turned,gedreht,تحولت
drop,tropfen,يسقط
ladies,Damen,سيداتي
learn,lernen,يتعلم
step,Schritt,خطوة
absolutely,absolut,قطعاً
early,früh,مبكر
explain,erklären,يشرح
clean,sauber,ينظف
piece,Stück,قطعة
yesterday,gestern,أمس
throw,Wurf,يرمي
picture,Bild,صورة
land,Land,أرض
feet,Füße,قدم
wonder,Wunder,يتعجب
questions,Fragen,أسئلة
speaking,Apropos,تكلم
worth,Wert,يستحق
darling,Schatz,محبوب
dude,Alter,يا صديقي
giving,geben,إعطاء
president,Präsident,رئيس
eye,Auge,عين
quick,schnell,سريع
moving,ziehen um,متحرك
figure,Figur,شكل
state,Zustand,ولاية
strong,stark,قوي
sam,Sam,سام
none,keiner,لا أحد
amazing,toll,مدهش
ones,Einsen,تلك
works,Arbeiten,يعمل
act,Gesetz,يمثل
needed,erforderlich,ضروري
weird,seltsam,غريب
law,Gesetz,قانون
worried,besorgt,قلق
report,Bericht,تقرير
goodbye,Verabschiedung,مع السلامة
missing,fehlen,مفتقد
choice,Auswahl,خيار
happening,Ereignis,يحدث
chief,Chef,رئيس
wedding,Hochzeit,قِرَان
strange,seltsam,غريب
general,allgemein,عام
pain,Schmerz,ألم
am,Bin,أكون
kidding,scherzhaft,يمازج
decided,entschieden,مقرر
ya,ya,يا
pass,passieren,يمر
tired,müde,مرهق
class,Klasse,فصل
officer,Offizier,ضابط
kept,gehalten,الاحتفاظ
wake,aufwachen,استيقظ
worse,schlechter,أسوأ
busy,beschäftigt,مشغول
eh,Eh,إيه
mistake,Fehler,خطأ
kiss,Kuss,قبلة
court,Gericht,محكمة
building,Gebäude,مبنى
finish,beenden,ينهي
during,während,خلال
age,Alter,عمر
ship,Schiff,سفينة
caught,erwischt,أمسك
marry,heiraten,الزواج
meant,gemeint,عنى
sell,verkaufen,يبيع
dark,dunkel,مظلم
watching,Aufpassen,مشاهدة
system,System,نظام
suppose,vermuten,يفترض
evidence,Beweis,شهادة
movie,Film,فيلم
ride,Fahrt,يركب
t,T,ر
completely,vollständig,بالكامل
mouth,Mund,فم
totally,total,تماما
birthday,Geburtstag,عيد ميلاد
tv,Fernseher,تلفزيون
forgive,verzeihen,سامح
born,geboren,وُلِدّ
imagine,vorstellen,يتصور
information,Information,معلومة
instead,stattdessen,بدلاً من
definitely,definitiv,قطعاً
security,Sicherheit,حماية
certainly,sicherlich,بالتأكيد
film,Film,فيلم
month,Monat,شهر
lying,lügnerisch,يكذب
unless,es sei denn,إلا إذا
train,Zug,يدرب
seven,Sieben,سبعة
wear,tragen,يرتدي
clothes,Kleidung,ملابس
michael,Michael,ميخائيل
hotel,Hotel,الفندق
christmas,Weihnachten,عيد الميلاد
attack,Attacke,هجوم
hasn,Hasn,ليس
round,runden,دائري
expect,erwarten,يتوقع
sing,singen,يغني
terrible,abscheulich,رهيب
george,George,جورج
bag,Tasche,شنطة
history,Geschichte,تاريخ
blue,Blau,أزرق
near,nahe,قريب
broke,Pleite,حطم
station,Bahnhof,محطة
seriously,ernsthaft,بجد
forever,für immer,للأبد
david,David,ديفيد
frank,frank,صريح
except,außer,يستثني
thinks,denkt,يعتقد
message,Nachricht,رسالة
entire,gesamte,كامل
joe,Joe,جو
table,Tisch,طاولة
talked,redete,تحدث
across,über,عير
rock,Felsen,صخر
lovely,schön,محبوب
handle,handhaben,مقبض
middle,Mitte,وسط
buddy,Kumpel,صاحب
paid,bezahlt,مدفوع
protect,schützen,يحمي
using,Verwendung,استخدام
floor,Boden,أرضية
ran,rannte,جرى
swear,schwören,يُقسم
spend,ausgeben,ينفق
situation,Situation,الموقف
ring,Ring,جرس
anywhere,überall,في أى مكان
dangerous,gefährlich,خطير
bill,Rechnung,فاتورة
york,York,يورك
army,Armee,جيش
lead,führen,يقود
bought,gekauft,مُشترى
finished,fertig,انتهى
fair,gerecht,عدل
sun,Sonne,شمس
letter,Brief,خطاب
fool,täuschen,أحمق
attention,Aufmerksamkeit,انتباه
club,Verein,النادي
simple,einfach,بسيط
interesting,interessant,مثير للاهتمام
space,Raum,فضاء
test,prüfen,امتحان
box,Kasten,صندوق
group,Gruppe,مجموعة
single,einzel,أعزب
sitting,Sitzung,الجلوس
marriage,Hochzeit,زواج
join,verbinden,ينضم
fear,Furcht,يخاف
d,D,د
peace,Frieden,سلام
forgot,vergessen,نسيت
force,Gewalt,قوة
short,kurz,قصير
normal,normal,طبيعي
charlie,Charlie,تشارلي
present,gegenwärtig,حاضر
enjoy,genießen,يتمتع
mike,Mike,مايك
crime,Verbrechen,جريمة
horse,Pferd,حصان
ground,Boden,أرضي
american,amerikanisch,أمريكي
count,zählen,عدد
area,Bereich,منطقة
charge,Aufladung,تكلفة
honor,ehren,شرف
lunch,Mittagessen,غداء
miles,Meilen,اميال
radio,Radio,مذياع
idiot,Idiot,غبي
ball,Ball,كرة
surprise,Überraschung,مفاجأة
paper,Papier,ورق
key,Taste,مفتاح
boat,Boot,قارب
quickly,schnell,بسرعة
gold,Gold,ذهب
bar,Bar,حاجِز
fish,Fisch,سمكة
mark,markieren,علامة
tom,Tom,توم
wearing,Verschleiß,يلبس
crying,Weinen,بكاء
accident,Unfall,حادثة
government,Regierung,حكومة
eight,acht,ثمانية
fell,fällen,يسقط
cover,Abdeckung,غطاء
certain,bestimmt,تأكيد
interested,interessiert,مهتم
deep,tief,عميق
star,Stern,نجمة
sea,Meer,بحر
agree,zustimmen,يوافق
problems,Probleme,مشاكل
detective,Detektiv,المحقق
prison,Gefängnis,سجن
major,wesentlich,رئيسي
stick,Stock,يلزق
offer,Angebot,يعرض
difficult,schwierig,صعب
smart,schlau,ذكي
personal,persönlich,شخصي
record,aufzeichnen,سِجِلّ
stopped,gestoppt,توقفت
hide,verstecken,يخفي
whether,ob,سواء
bank,Bank,بنك
trip,Reise,رحلة
relax,entspannen,يستريح
america,Amerika,أمريكا
public,öffentlich,عام
list,Liste,قائمة
afternoon,Nachmittag,بعد الظهر
brain,Gehirn,مخ
fix,Fix,يصلح
bastard,Bastard,نذل
proud,stolz,فخور
tea,Tee,شاي
service,Service,خدمة
screaming,schreiend,صراخ
forward,nach vorne,إلى الأمام
angry,wütend,غاضب
park,Park,حديقة
soul,Seele,روح
fighting,Kampf,قتال
peter,Peter,نفذ
rich,reich,ثري
agent,Agent,عامل
blow,Schlag,ينفخ
paul,Paul,بول
dress,Kleid,فستان
mary,Maria,ماري
missed,vermisst,مٌفتَقد
scene,Szene,مشهد
killing,Tötung,قتل
standing,Stehen,الوقوف
saved,Gerettet,أنقذ
mm,mm,مم
respect,respektieren,احترام
killer,Mörder,القاتل
ice,Eis,جليد
mess,Durcheinander,فوضى
tough,hart,قاسٍ
feels,fühlt sich,يشعر
church,Kirche,كنيسة
sad,traurig,حزين
cell,Zelle,خلية
drunk,betrunken,سكران
share,Aktie,يشارك
camera,Kamera,آلة تصوير
mm-hmm,MM-HMM,مم
within,innerhalb,داخل
card,Karte,بطاقة
fly,Fliege,يطير
ben,Ben,بن
girlfriend,Freundin,صديقة
laugh,lachen,يضحك
smell,Geruch,يشم
broken,gebrochen,مكسور
mum,Mama,ماما
honest,ehrlich,أمين
often,oft,غالباً
starting,beginnend,ابتداء
calls,Anrufe,المكالمات
y,y,ذ
spent,ausgegeben,أنفق
third,dritte,ثالث
english,Englisch,إنجليزي
visit,besuchen,يزور
mama,Mutter,ماما
judge,Richter,يحكم على
window,Fenster,نافذة او شباك
hungry,hungrig,جوعان
dare,Wagen,تجرؤ
relationship,Beziehung,علاقة
moved,gerührt,انتقل
prove,beweisen,يثبت
private,Privatgelände,خاص
wall,Wand,حائط
seat,Sitz,مقعد
i-i,i-i,أنا
position,Position,موضع
lieutenant,Leutnant,ملازم
realize,realisieren,يدرك
lt,lt,LT
especially,besonders,خصوصاً
machine,Maschine,آلة
walking,gehen,المشي
art,Kunst,فن
pleasure,Vergnügen,سرور
bloody,blutig,دموي
college,Hochschule,كلية
french,französisch,فرنسي
involved,beteiligt,متضمن
cry,weinen,يبكي
became,wurde,أصبح
lived,lebte,يسكن
impossible,unmöglich,مستحيل
obviously,offensichtlich,بوضوح
neither,weder,لا
accept,akzeptieren,يقبل
boyfriend,Freund,حبيب
besides,neben,بجانب
queen,Königin,ملكة
teacher,Lehrer,مدرس
cops,Polizisten,رجال الشرطة
sake,Gunst,من أجل
loves,Liebt,يحب
carry,tragen,يحمل
teach,unterrichten,يعلم
apartment,Wohnung,شقة
upset,verärgern,منزعج
green,Grün,أخضر
la,la,لا
liked,gefallen,احب
cute,Niedlich,لطيف
evil,teuflisch,شر
professor,Professor,أستاذ
contact,Kontakt,اتصال
joke,scherzen,نكتة
cop,Polizist,شرطي
huge,riesig,ضخم
holy,heilig,مقدس
store,speichern,محل
jail,Gefängnis,سجن
likes,Likes,الإعجابات
lawyer,Rechtsanwalt,محامي
doubt,zweifeln,شك
continue,weitermachen,يكمل
appreciate,anerkennen,يُقَدِّر
cat,Katze,قطة
shop,Geschäft,محل
driving,Fahren,القيادة
congratulations,Glückwunsch,تهانينا
wrote,schrieb,كتب
village,Dorf,قرية
quit,aufhören,يترك
field,Feld,مجال
james,James,جوامع
wine,Wein,خمر
decision,Entscheidung,قرار
south,Süd,جنوب
sleeping,Schlafen,نائم
slow,langsam,بطيء
laughter,Lachen,ضحك
island,Insel,جزيرة
glass,Glas,زجاج
beginning,Anfang,بداية
cash,Kasse,نقدي
dying,Absterben,الموت
hundred,hundert,مائة
whose,wessen,لمن
difference,Unterschied,اختلاف
plane,Ebene,طائرة
push,drücken,يدفع
continues,geht weiter,متواصل
mmm,mmm,ط ط ط
singing,Singen,الغناء
eating,Essen,يتناول الطعام
north,Norden,شمال
mrs,Frau,السّيدة
tree,Baum,شجرة
madam,gnädige Frau,سيدتي
gift,Geschenk,هدية
truck,LKW,شاحنة
putting,Putten,وضع
bear,tragen,دُبٌّ
board,Planke,سبورة
grab,greifen,يمسك
beer,Bier,جعة
stuck,gesteckt,عالق
magic,Magie,سحر
support,Unterstützung,يدعم
rules,Regeln,قواعد
grunts,Grunzen,همهمات
partner,Partner,شريك
reach,erreichen,يصل
wind,Wind,رياح
colonel,Oberst,كولونيل
max,Max,الأعلى
immediately,sofort,في الحال
seconds,Sekunden,ثوان
thousand,tausend,ألف
gives,gibt,يعطي
experience,Erfahrung,خبرة
cheers,Beifall,هتافات
victim,Opfer,ضحية
upon,auf,على
computer,Computer,حاسوب
christ,Christus,السيد المسيح
planet,Planet,كوكب
promised,versprochen,وعدت
bus,Bus,حافلة
henry,Henry,هنري
dirty,schmutzig,متسخ
search,suchen,يبحث
staying,bleiben,البقاء
dreams,Träume,أحلام
arrest,Festnahme,يقبض على
holding,Holding,تحتجز
suddenly,plötzlich,فجأة
usually,normalerweise,عادة
lots,viele,الكثير
shoes,Schuhe,أحذية
er,ähm,إيه
jump,springen,القفز
rid,loswerden,يتخلص
yo,yo,يو
knock,klopfen,طرق
owe,verdanken,يدين
harry,Harry,هاري
grow,wachsen,ينمو
worst,schlimmste,أسوأ
river,Fluss,نهر
aunt,Tante,عمة
patient,geduldig,مريض
kitchen,Küche,مطبخ
aah,aah,آه
fat,fett,سمين
passed,bestanden,اجتاز
m,M,م
final,Finale,أخير
summer,Sommer,صيف
bob,Bob,بوب
listening,Hören,الاستماع
escape,fliehen,يهرب
everywhere,überall,في كل مكان
moon,Mond,قمر
arms,Waffen,أسلحة
turns,wendet sich,المنعطفات
address,Adresse,عنوان
ow,ow,آه
match,passen,مباراة
gasps,Keuchen,الشهقات
grand,Grand,كبير
yep,ja,نعم
shh,Shh,شه
nervous,nervös,متوتر
de,de,دي
choose,wählen,يختار
themselves,sich,أنفسهم
decide,entscheiden,يقرر
mate,sich paaren,رَفِيق
drinking,Trinken,الشرب
press,Drücken Sie,يضعط
bother,sich kümmern,يزعج
foot,Fuß,قدم
hadn,Hadn,لن
blame,beschuldigen,لوم
crap,Mist,هراء
drugs,Drogen,المخدرات
type,Typ,يكتب
